x,y
1.101262453505847061e+00,2.401112518922455585e+00
3.384312766461777811e-01,1.461301474472408213e+00
-5.399715152535035090e-01,3.165217772800317797e-01
-1.260241856852432729e+00,-1.407593612480428913e+00
-1.894621269839255273e+00,-2.951146768058407588e+00
1.863829098328561445e-02,1.546790581764733163e-01
-8.105670995116027733e-01,-1.066346513227391268e+00
-8.721559599345132252e-01,-7.420503417999485540e-01
-2.219695070838910433e-01,1.733300746556542205e+00
-5.184602813201771160e-02,8.055011195939609792e-01
-2.276782815775830748e+00,-2.080202701745623273e+00
9.251465905764265640e-01,3.634116167339854986e+00
-2.026845605910025938e+00,-2.736763342393282894e+00
1.859624108554346789e+00,5.159798630557390631e+00
5.905681115998624442e-01,2.381416279995913321e+00
-4.718445181333141281e-01,-2.885410994495239967e-01
1.342996537380773958e+00,3.063874884308122937e+00
2.078646191744302346e-02,2.411540990185392808e+00
6.909209676232841435e-01,1.706328147489999836e+00
1.072270794472050676e-01,2.308294739558491404e+00
1.096531380130274957e+00,2.504061975458396816e+00
1.061422454375829494e+00,3.347246277116565416e+00
-9.073341413930656740e-01,-4.946569270049760991e-02
-6.124917784436157975e-01,1.124415281880422723e+00
3.432270521124314855e-01,2.091657559902527552e+00
-2.100101516351706166e-01,-2.586208416462789650e-01
-2.284914216554450928e+00,-4.723442364925405812e+00
2.026117534921776375e+00,4.344414693625710200e+00
-2.174977373868805852e+00,-2.525867856928704747e+00
-2.081542853744763999e+00,-4.194885458974241033e+00
-1.276112419732938319e+00,-6.188635781772696687e-01
5.648512404463458259e-01,2.113465373875321518e+00
1.796012506630270789e+00,2.883346867483399301e+00
-2.354150525900866875e-01,-1.382054937251165905e-01
-3.910773505445040987e-01,6.696272384633855657e-01
1.739014642877872163e-01,4.482642476749790772e-01
-3.668597432540227077e-01,5.105956476620986395e-01
8.236522460221347430e-02,1.623318783578508118e+00
-1.139971459363007478e+00,-3.538290539620550845e+00
4.382574326197660186e-01,-3.099060518520551089e-01
3.925793981560153356e-01,8.516827684333790893e-01
-2.435417416343951480e+00,-5.496746667167302647e+00
-1.102259453238289416e-01,1.143282803034302075e+00
1.629158176758484788e-01,1.194135194232343489e+00
5.612247602630474619e-01,1.338851541669916934e+00
-8.160897564397010528e-01,-4.599622186468165230e-01
-1.328034264262495601e+00,-1.240053880277586895e+00
-9.507340805091575309e-01,-2.942384425394521053e+00
5.480409641909272933e-01,1.093846875327909585e+00
-8.518355089919037448e-01,-1.109588746409958748e+00
-7.641438115235787976e-01,1.042706128377566266e+00
1.143765577700457170e+00,3.036536524439510831e+00
-7.861575894791125174e-01,7.115484176024933216e-01
-8.986326207536771138e-01,-2.158205591796937828e+00
-9.123756351337107551e-02,-4.058124273142429406e-01
1.986105164067732687e-01,1.943291881463480753e+00
1.037629658671248789e+00,2.542614104039627954e+00
-8.793276811910162305e-01,6.441184086032574196e-01
-1.568154594435295701e+00,-1.307337187876203011e+00
-1.224966515655723925e-01,-2.964174364465542721e-01
6.436368157294202197e-01,9.327088807661501058e-01
-1.481526543249412908e+00,-1.033320361775708074e+00
-4.872630157846969401e-01,3.970291271118568388e-01
3.061957881033035567e-01,2.011635620311830408e+00
2.310243000221297027e-01,3.028365957487921811e-01
8.335899091739197575e-02,1.478425089683705007e+00
-2.568895173775523899e-01,-9.716861156598304294e-01
-7.993464580715008427e-01,-2.234380302439616939e-01
-9.281380009611974735e-01,-3.244416060012159653e-01
1.156262234272078304e+00,2.549073177622471320e+00
-1.117209714885483152e+00,-1.907069708292330024e+00
1.228000098517547212e+00,6.774483954655553752e+00
-1.315058435865327668e+00,-1.372786259078381033e+00
2.903581786972846857e+00,6.894594021980130272e+00
-1.738110928883391804e+00,-3.569237826393366841e+00
1.604274299454078179e+00,4.834873936519581861e+00
-8.970721577902043276e-01,-6.026425711607065194e-01
-1.156154805066912372e-01,1.077789786797055838e+00
-6.555257091474957221e-02,2.111221781980985313e+00
-6.522226650767547484e-01,2.941882934860712284e-01
2.228392634822385698e+00,8.090659137482891339e+00
9.491534615827704191e-02,6.841508945356824523e-01
-1.321073742995353628e+00,-2.366631969795203183e+00
6.465603079512942664e-01,3.237808698000928409e+00
7.124017466131326026e-01,1.588295834246704175e+00
-1.147483038322588245e+00,-3.962376697289000660e-01
5.356130419751398142e-01,8.825404926657265392e-01
6.895578792877382623e-02,1.248619708688177399e+00
8.203356602681025622e-01,4.798852933896053941e+00
7.121954717945738755e-01,2.545575258480313963e+00
-8.442406578893255770e-03,1.450180373227057284e+00
-4.082828680274048772e-01,2.189792370274837197e+00
9.103726831466015801e-01,3.430350992236842256e+00
3.131992040260023757e-01,1.206457334344465337e+00
-1.489277373132821491e+00,-2.095117897045206234e+00
-5.448691737581976557e-01,1.660798463356134347e+00
-4.833123986084570944e-01,1.688509164568962051e+00
-2.621545059158810753e-01,2.005064060351200439e+00
2.284292064543673728e+00,5.714856711288867075e+00
-3.772873047494678111e-01,-3.776964413922824226e-01
4.773366654260695063e-01,2.347296912891046361e+00
1.655333353416631237e+00,2.754568597059535939e+00
5.036535334860687829e-01,5.892433006831372388e-01
4.318775724044341402e-01,1.150978533434954043e+00
1.297958707930347844e+00,3.548352119747373745e+00
1.973106897882643262e-01,1.971802973866187969e+00
1.859823808866370720e-01,-9.309456505270550242e-01
6.887385438254648440e-01,4.216383131567945419e+00
4.120768860796875654e-01,1.729396772337588262e+00
-6.803575256342967448e-01,4.789487007323934842e-01
-1.165890835394844061e+00,4.176329520435213549e-01
-1.133724957110023301e-01,1.346876404293427587e+00
1.398012033385505948e+00,5.743423198137232788e+00
-2.264157559988616286e-01,2.189298119947051813e-01
